filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Vinnytsia_ballads_563_Oj u luzi;Ой у лузі;Oj u luzi;05-БР-09;2007;Кушка Т. Я., Матіяш Д. В.;с. Устя Бершадського р-ну Вінницької обл. ;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О. № 2 (382).;"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). ";;
Vinnytsia_ballads_563v_Oj u luzi;Ой у лузі;Oj u luzi;05-БР-09;2009;Матіяш Д., Кушка Т.;с. Ободівка Тростянецького р-ну Вінницької обл.;на святі Г. Танцюри від співаків;2 voices;;;;"Розшифр. Єфремова Л. О., 
№ 3 (260).";"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). ";;
Vinnytsia_ballads_563v1_Oj u luzi;Ой у лузі;Oj u luzi;05-БР-09;2009;Матіяш Д., Кушка Т.;"с. Зятківці Гайсинського 
р-ну Вінницької обл.";від співачки;single;;;;Розшифр. Єфремова Л. О., № 5 (262). ;"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). ";;
Vinnytsia_ballads_564_Zapalju ja v novij khati;Запалю я в новій хаті;Zapalju ja v novij khati;05-БР-10;1922;Кудрицька А. М.;с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.);Д. Нагірної.;single;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 26-27 (текст), арк. 137 (мел.). ;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 26-27 (текст), арк. 137 (мел.). Вар. зап. 1963 р. експ. 
ІМФЕ, нач. Ященко Л. І. у c. Іванівці Барського р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 
14-5, од. зб. 380, арк. 108-110, № 50; пл. ф. 14-10, од. зб. 985-987. ";;
Vinnytsia_ballads_564v_Zapalju ja v novij khati;Запалю я в новій хаті;Zapalju ja v novij khati;05-БР-10;1963;експ. ІМФЕ, нач. Ященко Л. І.;c. Іванівці Барського р-ну Вінницької обл.;від гурту доярок.;2 voices;;;;"– ІМФЕ, ф. 14-5, од. зб. 380, арк. 108-110, № 50; пл. ф. 14-10, од. зб. 985-987. ";"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 26-27 (текст), арк. 137 (мел.). Вар. зап. 1963 р. експ. 
ІМФЕ, нач. Ященко Л. І. у c. Іванівці Барського р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 
14-5, од. зб. 380, арк. 108-110, № 50; пл. ф. 14-10, од. зб. 985-987. ";;
Vinnytsia_ballads_565_Za horoju sontse skhodyt';За горою сонце сходить;Za horoju sontse skhodyt';05-БР-10;-;Матіяш Д., Кушка Т.;с. Ободівка Тростянецького р-ну Вінницької обл.;від гурту;2 voices;;;;Розшифр. Єфремова Л. О., № 11 (151). ;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 11 (151). Вар. зап. 3.05 2009 р. Матіяш Д., Кушка Т. у с. Сиваківці  Липовець-
кого р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 1 (345). Вар. 1 зап. 17.IХ 1927 р. 
Корсовецький О. від Дудник Ласовети з с. Клембівка Могилів-Подільської окр. (нині Ямпільсько-
го р-ну Вінницької обл). – ІМФЕ, ф. 6-4, од. зб. 157, арк. 9 зв.-10 (17-18), № 14.";;
Vinnytsia_ballads_565v_Za horoju sontse skhodyt';За горою сонце сходить;Za horoju sontse skhodyt';05-БР-10;2009;Матіяш Д., Кушка Т.;с. Сиваківці  Липовецького р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О., № 1 (345).;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 11 (151). Вар. зап. 3.05 2009 р. Матіяш Д., Кушка Т. у с. Сиваківці  Липовець-
кого р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 1 (345). Вар. 1 зап. 17.IХ 1927 р. 
Корсовецький О. від Дудник Ласовети з с. Клембівка Могилів-Подільської окр. (нині Ямпільсько-
го р-ну Вінницької обл). – ІМФЕ, ф. 6-4, од. зб. 157, арк. 9 зв.-10 (17-18), № 14.";;
Vinnytsia_ballads_565v1_Za horoju sontse skhodyt';За горою сонце сходить;Za horoju sontse skhodyt';05-БР-10;1927;Корсовецький О.;с. Клембівка Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл).;Дудник Ласовети;single;;;;– ІМФЕ, ф. 6-4, од. зб. 157, арк. 9 зв.-10 (17-18), № 14.;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 11 (151). Вар. зап. 3.05 2009 р. Матіяш Д., Кушка Т. у с. Сиваківці  Липовець-
кого р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 1 (345). Вар. 1 зап. 17.IХ 1927 р. 
Корсовецький О. від Дудник Ласовети з с. Клембівка Могилів-Подільської окр. (нині Ямпільсько-
го р-ну Вінницької обл). – ІМФЕ, ф. 6-4, од. зб. 157, арк. 9 зв.-10 (17-18), № 14.";;
Vinnytsia_ballads_566_Pozhenu ja siri voly;Пожену я сірі воли;Pozhenu ja siri voly;05-БР-10;-;Кушка Т. Я., Матіяш Д. В.;с. Талалаї Погребищенського р-ну Вінницької обл.;-;single;;;;Розшифр. Єфремова Л. О. № 13 (372).;"Зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищенського р-ну Вінницької обл. Розшифр. 
Єфремова Л. О. № 13 (372).";;
Vinnytsia_ballads_567_Ja she vchera izvechera;Йа ше вчера ізвечера;Ja she vchera izvechera;05-БР-10;1927;Харків В.;с. Нишівці Мурованокуриливецького р-ну Вінницької обл.;Штефана Маловичка.;single;;;;– ІМФЕ, ф. 6-3, од. зб. 80, арк. 20-22 (текст), арк. 24 (мел.).;"Зап. 1927 р. Харків В. у с. Нишівці Мурованокуриливецького р-ну Вінницької обл. від 
Штефана Маловичка. – ІМФЕ, ф. 6-3, од. зб. 80, арк. 20-22 (текст), арк. 24 (мел.).";;
Vinnytsia_ballads_568_Pozhenu ja voly do vody;Пожену я воли до води;Pozhenu ja voly do vody;05-БР-10а;-;Кушка Т. Я., Матіяш Д. В.;с. Талалаї Погребищенського р-ну Вінницької обл. ;-;single;;;;Розшифр. Єфремова Л. О. № 12 (371).;"Зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищенського р-ну Вінницької обл. Розшифр. 
Єфремова Л. О. № 12 (371).";;
Vinnytsia_ballads_569_Za horamy hory vysoki;За горами гори високі;Za horamy hory vysoki;05-БР-12;-;Кушка Т. Я., Матіяш Д. В.;с. Забужжя Немирівського р-ну Вінницької обл.;Розборської Ф. Ф.;single;;;;Розшифр. Єфремова Л. О. № 55 (592).;"Зап. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від Розборської 
Ф. Ф. Розшифр. Єфремова Л. О. № 55 (592).";;
Vinnytsia_ballads_570_Oj u jaru hlibokim;Ой у яру глібокім;Oj u jaru hlibokim;05-БР-13;1924;Кудрицька А. М.;с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.);Ганни Гловач.;2 voices;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 92-93 (текст), арк. 160 (мел.).;"Зап. 1924 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Ганни Гловач. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 92-93 (текст), арк. 160 (мел.). Вар. зап. 1926 р. Ми-
лятицький В. від С. Нечипоренки та О. Орленко з с. Спичинці Бердичівської окр. (нині Погреби-
щенський р-н Вінницької обл.). Парубоча. Співають, як ведуть коней на ніч. Популярна. (В. М.) – 
ІМФЕ, ф. 6-4, од. зб. 151, арк. 8, № 13.";;
Vinnytsia_ballads_570v_Oj u jaru hlibokim;Ой у яру глібокім;Oj u jaru hlibokim;05-БР-13;1926;Милятицький В.;с. Спичинці Бердичівської окр. (нині Погребищенський р-н Вінницької обл.).;С. Нечипоренки та О. Орленко;2 voices;;;;Парубоча. Співають, як ведуть коней на ніч. Популярна. (В. М.) – ІМФЕ, ф. 6-4, од. зб. 151, арк. 8, № 13.;"Зап. 1924 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Ганни Гловач. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 92-93 (текст), арк. 160 (мел.). Вар. зап. 1926 р. Ми-
лятицький В. від С. Нечипоренки та О. Орленко з с. Спичинці Бердичівської окр. (нині Погреби-
щенський р-н Вінницької обл.). Парубоча. Співають, як ведуть коней на ніч. Популярна. (В. М.) – 
ІМФЕ, ф. 6-4, од. зб. 151, арк. 8, № 13.";;
Vinnytsia_ballads_571_Oj u jaru hlyboko;Ой у яру глибоко;Oj u jaru hlyboko;05-БР-13;-;Кушка Т. Я., Матіяш Д. В.;с. Зятківці Гайсинського р-ну Вінницької обл.;Коваль О. Н., Касьян Я. М., Коваль С. П., Мелицької Г. М., Дубровської М. П., Сокач К. Д.;2 voices;;;; Розшифр. Єфремова Л. О. № 12 (606). ;"Зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці Гайсинського р-ну Вінницької обл. від Коваль О. Н., 
Касьян Я. М., Коваль С. П., Мелицької Г. М., Дубровської М. П., Сокач К. Д. Розшифр. Єфремова 
Л. О. № 12 (606). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бір-
ків Літинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Не-
чипорук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 33 (59).";;
Vinnytsia_ballads_571v_Oj u jaru hlyboko;Ой у яру глибоко;Oj u jaru hlyboko;05-БР-13;2007;Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. ;с. Бірків Літинського р-ну Вінницької обл.;Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипорук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., Войтко М. А., Калінської Г., Нижник О.;2 voices;;;;Розшифр. Єфремова Л. О., № 33 (59).;"Зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці Гайсинського р-ну Вінницької обл. від Коваль О. Н., 
Касьян Я. М., Коваль С. П., Мелицької Г. М., Дубровської М. П., Сокач К. Д. Розшифр. Єфремова 
Л. О. № 12 (606). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бір-
ків Літинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Не-
чипорук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 33 (59).";;
Vinnytsia_ballads_572_Zhyla vdova na Podoli;Жила вдова на Подолі;Zhyla vdova na Podoli;05-БР-14;1926;Милятицький В.;с. Спичиньці Бердичівської окр. (нині с. Спичинці Погребищенського р-ну Вінницької обл.).;Софії Нечипоренки та Ольги Орленко;2 voices;;;;"Співають старі бабки напідпитку зімою. Цю ж пісню на мотив ""Ой колись була роскіш-воля"" співають дівчата. Мотив занесено 21 року. (В. М.) – ІМФЕ, ф. 6-4, од. зб. 151, арк. 15 зв., № 28.";"Зап. 1926 р. Милятицький В. від Софії Нечипоренки та Ольги Орленко з с. Спичиньці Бердичів-
ської окр. (нині с. Спичинці Погребищенського р-ну Вінницької обл.). Співають старі бабки на-
підпитку зімою. Цю ж пісню на мотив ""Ой колись була роскіш-воля"" співають дівчата. Мотив за-
несено 21 року. (В. М.) – ІМФЕ, ф. 6-4, од. зб. 151, арк. 15 зв., № 28.";;
Vinnytsia_ballads_573_Oj zhyla vdova;Ой жила вдова;Oj zhyla vdova;05-БР-14;1941;Шмиговський А. Д.;"с. Хомутинці (нині Калинівського р-ну) Вінниць-
кої обл. ";Негоди О.;single;;;;"– ІМФЕ, ф. 14-3, од. зб. 2, арк. 231-232 (131),  № 175. Подано без кінця. Пісня чоловіча. 
Негода перейняв її від Ст. Орлюка. (Прим. зап.)";"Зап. 1941 р. Шмиговський А. Д. від Негоди О. з с. Хомутинці (нині Калинівського р-ну) Вінниць-
кої обл. – ІМФЕ, ф. 14-3, од. зб. 2, арк. 231-232 (131),  № 175. Подано без кінця. Пісня чоловіча. 
Негода перейняв її від Ст. Орлюка. (Прим. зап.)";;
Vinnytsia_ballads_574_Oj za hayem, hayem;Ой за гаєм, гаєм;Oj za hayem, hayem;16-БР-05;2018;Гарбулінська Т. Є.;с. Бджільна Теплицького р-ну Вінницької обл.;Жарій І., Ільтєшиної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. В., Щербацької Н. І., Оєвої Д. М. ;2 voices;;;;З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 9 (116).;"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від Жа-
рій І., Ільтєшиної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 9 
(116).";;
Vinnytsia_ballads_575_U Kyyivi na Podoli;У Київі на Подолі;U Kyyivi na Podoli;06-БК-01;1922;Кудрицька А. М.;"с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.)";Д. Нагірної.;2 voices;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 59-60 (текст), арк. 150 (мел.). Текст надр.: Балади, 1, с. 199.;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 59-60 (текст), арк. 
150 (мел.). Текст надр.: Балади, 1, с. 199. Вар. зап. Балицька з м. М’яківка Ольгопільського пов. 
на Поділлі (нині с. Городківка Крижипільського р-ну Вінницької обл.), співали селяни до 1915 р. 
– ІМФЕ, ф. 14-3, од. зб. 2, арк. 217 (123),  № 167.";;
Vinnytsia_ballads_575v_U Kyyivi na Podoli;У Київі на Подолі;U Kyyivi na Podoli;06-БК-01;-;Балицька;м. М’яківка Ольгопільського пов. на Поділлі (нині с. Городківка Крижипільського р-ну Вінницької обл.),;-;single;;;;співали селяни до 1915 р. – ІМФЕ, ф. 14-3, од. зб. 2, арк. 217 (123),  № 167.;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 59-60 (текст), арк. 
150 (мел.). Текст надр.: Балади, 1, с. 199. Вар. зап. Балицька з м. М’яківка Ольгопільського пов. 
на Поділлі (нині с. Городківка Крижипільського р-ну Вінницької обл.), співали селяни до 1915 р. 
– ІМФЕ, ф. 14-3, од. зб. 2, арк. 217 (123),  № 167.";;
Vinnytsia_ballads_576_Oj u poli na rozdoli;Ой у полі на роздолі;Oj u poli na rozdoli;06-БК-01;2007;Кушка Т. Я., Матіяш Д. В.;с. Устя Бершадського р-ну Вінницької обл. ;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О. № 6 (386). ;"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 6 (386). ";;
Vinnytsia_ballads_577_Oj vyjshov misjats' iz-za khmary;Ой вийшов місяць із-за хмари;Oj vyjshov misjats' iz-za khmary;06-БК-02;2008;Матіяш Д., Кушка Т.;с. Бірків Літинського р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О., № 26 (94).;"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Бірків Літинського р-ну Вінницької обл. від гурту. Роз-
шифр. Єфремова Л. О., № 26 (94). Вар. зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищен-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 21 (379).";;
Vinnytsia_ballads_577v_Oj vyjshov misjats' iz-za khmary;Ой вийшов місяць із-за хмари;Oj vyjshov misjats' iz-za khmary;06-БК-02;-;Кушка Т. Я., Матіяш Д. В.;с. Талалаї Погребищенського р-ну Вінницької обл.;-;2 voices;;;;Розшифр. Єфремова Л. О. № 21 (379).;"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Бірків Літинського р-ну Вінницької обл. від гурту. Роз-
шифр. Єфремова Л. О., № 26 (94). Вар. зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищен-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 21 (379).";;
Vinnytsia_ballads_578_Zajdy, zajdy, misjachen'ku;Зайди, зайди, місяченьку;Zajdy, zajdy, misjachen'ku;06-БК-04;1951;Василенко З. І., Васильченко О. В.;с. Юрківці Сітковецького (нині Немирівського) р-ну Вінницької обл.;гурту доярок.;2 voices;;;;– ІМФЕ, ф. 14-5, од. зб. 243, арк. 43.;"Зап. 10.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Юрківці Сітковецького (нині Немирів-
ського) р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 43.";;
Vinnytsia_ballads_579_Oj u luzi, v luzi kalyna;Ой у лузі, в лузі калина;Oj u luzi, v luzi kalyna;07-БК;2007;Кушка Т. Я., Матіяш Д. В.;с. Забужжя Немирівського р-ну Вінницької обл.;Розборської Ф. Ф.;single;;;;Розшифр. Єфремова Л. О. № 53 (590).;"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл.
від Розборської Ф. Ф. Розшифр. Єфремова Л. О. № 53 (590).";;
Vinnytsia_ballads_580_Oj verbo, verbo;Ой вербо, вербо;Oj verbo, verbo;07-БК-01;2015;Гарбулінська Т. Є.;с. Лозове Чернівецького р-ну Вінницької обл.;"анс ""Джерело"", кер. Ф. Соболевська. ";2 voices;;;;З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (26).;"Зап. 20 лютого 2015 р. Гарбулінська Т. Є. у с. Лозове Чернівецького р-ну Вінницької обл. від анс 
""Джерело"", кер. Ф. Соболевська. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (26).";;
Vinnytsia_ballads_581_Koly b ne zima;Коли б не зіма;Koly b ne zima;07-БК-03;1924;Кудрицька А. М.;с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинівського р-ну Вінницької обл.);Макарової Дудник.;single;;;;"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 109 (текст), 
арк. 162 (мел.). ";"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Макарової Дудник. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 109 (текст), 
арк. 162 (мел.). Вар. зап. 12.ІХ 1951 р. Ященко Л. І., Кувеньова О. Ф. у с. Ометинці Сітковецького 
(нині Немирівського) р-ну Вінницької обл. від ланки Дринчак Надії Петрівни, 1925 р. н. – ІМФЕ, 
ф. 14-5, од. зб. 243, арк. 62.";;
Vinnytsia_ballads_581v_Koly b ne zima;Коли б не зіма;Koly b ne zima;07-БК-03;1951;Ященко Л. І., Кувеньова О. Ф.;"с. Ометинці Сітковецького 
(нині Немирівського) р-ну Вінницької обл.";ланки Дринчак Надії Петрівни, 1925 р. н.;2 voices;;;;– ІМФЕ, ф. 14-5, од. зб. 243, арк. 62.;"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Макарової Дудник. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 109 (текст), 
арк. 162 (мел.). Вар. зап. 12.ІХ 1951 р. Ященко Л. І., Кувеньова О. Ф. у с. Ометинці Сітковецького 
(нині Немирівського) р-ну Вінницької обл. від ланки Дринчак Надії Петрівни, 1925 р. н. – ІМФЕ, 
ф. 14-5, од. зб. 243, арк. 62.";;
Vinnytsia_ballads_582_Oj tam na hori;Ой там на горі;Oj tam na hori;07-БК-04;2007;Кушка Т. Я., Матіяш Д. В.;с. Устя Бершадського р-ну Вінницької обл. ;від гурту. ;single;;;;"Розшифр. Єфремова Л. О. № 22 (402). Це пісня стара, співається без підголоска. (Прим. 
вик.)";"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 22 (402). Це пісня стара, співається без підголоска. (Прим. 
вик.)";;
Vinnytsia_ballads_583_Oj na splavu;Ой на сплаву;Oj na splavu;07-БК-05;1922;Кудрицька А. М.;с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.);Дарки Нагірної, 46 р.;single;;;;"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 37-38 
(текст), арк. 139 (мел.).";"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 37-38 
(текст), арк. 139 (мел.). Вар. зап. 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінниць-
кої обл. від гурту. Розшифр. Єфремова Л. О., № 42 (307). Вар. 1 зап. 2007 р. та 03.04 2008 р. Ку-
шка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського р-ну Вінницької обл. від Майданюк Л. В., 
Яцюк Л. А. (вивід), Мартинюк  В. П., Богомолець О. П., (кер.), Романюк Г. Ю. Розшифр. Єфремо-
ва Л. О. № 9 (621).";;
Vinnytsia_ballads_583v_Oj na splavu;Ой на сплаву;Oj na splavu;07-БК-05;1998;Бідюк Л. М.;с. Сиваківці  Липовецького р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О., № 42 (307).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 37-38 
(текст), арк. 139 (мел.). Вар. зап. 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінниць-
кої обл. від гурту. Розшифр. Єфремова Л. О., № 42 (307). Вар. 1 зап. 2007 р. та 03.04 2008 р. Ку-
шка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського р-ну Вінницької обл. від Майданюк Л. В., 
Яцюк Л. А. (вивід), Мартинюк  В. П., Богомолець О. П., (кер.), Романюк Г. Ю. Розшифр. Єфремо-
ва Л. О. № 9 (621).";;
Vinnytsia_ballads_583v1_Oj na splavu;Ой на сплаву;Oj na splavu;07-БК-05;2007;Кушка Т. Я., Матіяш Д. В.;с. Гущинці Калинівського р-ну Вінницької обл.;Майданюк Л. В., Яцюк Л. А. (вивід), Мартинюк  В. П., Богомолець О. П., (кер.), Романюк Г. Ю.;2 voices;;;;Розшифр. Єфремова Л. О. № 9 (621).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 37-38 
(текст), арк. 139 (мел.). Вар. зап. 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінниць-
кої обл. від гурту. Розшифр. Єфремова Л. О., № 42 (307). Вар. 1 зап. 2007 р. та 03.04 2008 р. Ку-
шка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського р-ну Вінницької обл. від Майданюк Л. В., 
Яцюк Л. А. (вивід), Мартинюк  В. П., Богомолець О. П., (кер.), Романюк Г. Ю. Розшифр. Єфремо-
ва Л. О. № 9 (621).";;
Vinnytsia_ballads_584_Oj jakby ja do Kyyeva;Ой якби я до Києва;Oj jakby ja do Kyyeva;07-БК-07;2014;Гарбулінська Т. Є.;с. Іллівка Крижопільського р-ну Вінницької обл.;жіночого гурту.;2 voices;;;;– ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48.;"Зап. 29 серпня 2014 р. Гарбулінська Т. Є. у с. Іллівка Крижопільського р-ну Вінницької обл. від 
жіночого гурту. Розшифр. Єфремова Л. О., № 4 (69). Вар. зап. 3.Х 1927 р. Корсовецький І. у с. Ве-
лика Кісниця Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл.) від Наталки Со-
кари. – ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48. Вар. 1 зап. 1937 р. Стельмах М., Музиченко Д. 
(мел.) у с. Дяківці Літинського р-ну Вінницької обл. від Килини Поріцької, 20 р. – ІМФЕ, ф. 8-3, 
од. зб. 211, арк. 17 (текст), арк. 31 (мел.), № 28. Вар. 2 зап. 1979 р. Калетник М. Л. у с. Клембівка 
Ямпільського р-ну Вінницької обл. від Калетник Марини Стафіївни. – ІМФЕ, ф. 14-3, од. зб. 1214, 
арк. 4 (текст), арк. 42 зв. (мел.), № 4.";;
