Filename	Name in catalogue	Original title	Transliterated title	Type	Subtype	Subsubtype	Year	Collector	Performer	Number of voices	Performer gender or age	Audio recording	Archive reference	Additional remarks	Place	Contemporary_address	Latitude	Longitude	Address translated	Original metadata	SongName
Vinnytsia_ballads_638v_Usi hory zelenijut'	16-БР-02	Усі гори зеленіють	Usi hory zelenijut'	Non-ritual	Ballad	БР	2007	Кушка Т. Я., Матіяш Д. В.	від гурту.	unison			№ 39 (576).		с. Забужжя Немирівського р-ну Вінницької обл. .	с. Забужжя Немирівського р-ну Вінницької обл.	48.8792018	28.770924	Zabuzhzhya, Vinnytsia Oblast, Ukraine, 22848	"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). "	Vinnytsia_ballads_638v_Usi hory zelenijut'
Vinnytsia_ballads_638v1_Usi hory zelenijut'	16-БР-02	Усі гори зеленіють	Usi hory zelenijut'	Non-ritual	Ballad	БР	2009	Кушка Т. Я., Матіяш Д. В.	від гурту.	2 voices			№ 9 (353).		с. Сиваківці  Липовецького р-ну Вінницької обл.	с. Сиваківці Липовецького р-ну Вінницької обл.	49.32703799999999	28.6661382	Syvakivtsi, Vinnytsia Oblast, Ukraine, 22514	"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). "	Vinnytsia_ballads_638v1_Usi hory zelenijut'
Vinnytsia_ballads_638v2_Usi hory zelenijut'	16-БР-02	Усі гори зеленіють	Usi hory zelenijut'	Non-ritual	Ballad	БР	-	Кушка Т. Я., Матіяш Д. В.	-	2 voices			Розшифр. № 10 (254).		с. Стіна Томашпільського р-ну Вінницької обл. 	с. Стіна Томашпільського р-ну Вінницької обл.	48.4561691	28.4194577	Stina, Vinnytsia Oblast, Ukraine, 24231	"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). "	Vinnytsia_ballads_638v2_Usi hory zelenijut'
Vinnytsia_ballads_638v3_Usi hory zelenijut'	16-БР-02	Усі гори зеленіють	Usi hory zelenijut'	Non-ritual	Ballad	БР	2007	Кушка Т. Я., Матіяш Д. В.	від гурту.	2 voices			Розшифр. Єфремова Л. О. № 16 (396). 		с. Устя Бершадського р-ну Вінницької обл.	с. Устя Бершадського р-ну Віницької обл.	48.3786637	29.6728751	Ustya, Vinnytsia Oblast, Ukraine, 24453	"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). "	Vinnytsia_ballads_638v3_Usi hory zelenijut'
Vinnytsia_ballads_639_Pid biloju berezoju	16-БР-03	Під білою березою	Pid biloju berezoju	Non-ritual	Ballad	БР	1936	Гайдай Михайло	"Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р."	2 voices			– ІМФЕ, ф. 8-3, од. зб. 182, арк. 106-107.		с. Стодульці Жмеринського р-ну Вінницької обл.	с. Стодульці Жмеринського р-ну Вінницької обл.	49.106711	27.8251132	Stodul'tsi, Vinnytsia Oblast, Ukraine, 23121	"Зап. 29.ХІІ 1936 р. Гайдай М. П. у с. Стодульці Жмеринського р-ну Вінницької обл. від Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 
106-107. Вар. зап. 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від 
Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109."	Vinnytsia_ballads_639_Pid biloju berezoju
Vinnytsia_ballads_639v_Pid biloju berezoju	16-БР-03	Під білою березою	Pid biloju berezoju	Non-ritual	Ballad	БР	2018	Гарбулінська Тетяна	Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. В., Щербацької Н. І., Оєвої Д. М. 	2 voices			З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109..		с. Бджільна Теплицького р-ну Вінницької обл. 	с. Бджільна Теплицького р-ну Вінницької обл.	48.62029450000001	29.747577	Bdzhil'na, Vinnytsia Oblast, Ukraine, 23840	"Зап. 29.ХІІ 1936 р. Гайдай М. П. у с. Стодульці Жмеринського р-ну Вінницької обл. від Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 
106-107. Вар. зап. 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від 
Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109."	Vinnytsia_ballads_639v_Pid biloju berezoju
Vinnytsia_ballads_640_Posadzhu ja vynohradu	16-БР-04	Посаджу я винограду	Posadzhu ja vynohradu	Non-ritual	Ballad	БР	2009	Кушка Т. Я., Матіяш Д. В.	"фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. "	2 voices			Розшифр. Єфремова Л. О., № 21.		с. Білки Іллінецького р-ну Вінницької обл.	с. Білки Іллінецького р-ну Вінницької обл.	48.9515514	29.2919561	Bilky, Vinnytsia Oblast, Ukraine, 22744	"Зап. 10.05 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від 
фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. Розшифр. Єфремова Л. О., № 21. Вар. зап. 1951 р. 
Кувеньова А., Ященко Л. І. у с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької 
обл. від гурту дівчат. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 49."	Vinnytsia_ballads_640_Posadzhu ja vynohradu
Vinnytsia_ballads_640v_Posadzhu ja vynohradu	16-БР-04	Посаджу я винограду	Posadzhu ja vynohradu	Non-ritual	Ballad	БР	1951	Ященко Л. І., Кувеньова О. Ф.	"від гурту дівчат.  
"	2 voices			– ІМФЕ, ф. 14-5, од. зб. 243, арк. 49.		с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької обл. 	с. Джуринці Немирівського р-ну Вінницької обл.	48.927823	29.2535245	Dzhuryntsi, Vinnytsia Oblast, Ukraine, 22864	"Зап. 10.05 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від 
фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. Розшифр. Єфремова Л. О., № 21. Вар. зап. 1951 р. 
Кувеньова А., Ященко Л. І. у с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької 
обл. від гурту дівчат. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 49."	Vinnytsia_ballads_640v_Posadzhu ja vynohradu
Vinnytsia_ballads_641_Teche richechka	17-БР-01а	Тече річечка	Teche richechka	Non-ritual	Ballad	БР	2009	Кушка Т. Я., Матіяш Д. В.	-	unison			Розшифр. Єфремова Л. О., № 2 (102).		с. Івашківці Шаргородського р-ну Вінницької обл.	с. Івашківці Шаргородського р-ну Вінницької обл.	48.7450681	27.9508684	Ivashkivtsi, Vinnytsia Oblast, Ukraine, 23516	"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О., № 2 (102)."	Vinnytsia_ballads_641_Teche richechka
Vinnytsia_ballads_642_Oddavala maty dochku	17-БР-01б	Оддавала мати дочку	Oddavala maty dochku	Non-ritual	Ballad	БР	1922	Кудрицька А. М.	Д. Нагірної.	unison			– ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 136 (мел.).		с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 
136 (мел.). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бірків Лі-
тинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипо-
рук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 34 (60)."	Vinnytsia_ballads_642_Oddavala maty dochku
Vinnytsia_ballads_642v_Oddavala maty dochku	17-БР-01б	Оддавала мати дочку	Oddavala maty dochku	Non-ritual	Ballad	БР	2007	Тищенко О., Матіяш Д., Кушка Т., Єпіченко М.	Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипорук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., Войтко М. А., Калінської Г., Нижник О.	2 voices			Розшифр. Єфремова Л. О., № 34 (60).		с. Бірків Літинського р-ну Вінницької обл. 	с. Бірків Літинського р-ну Вінницької обл.	49.2840862	28.0790768	Birkiv, Vinnytsia Oblast, Ukraine, 22352	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 
136 (мел.). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бірків Лі-
тинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипо-
рук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 34 (60)."	Vinnytsia_ballads_642v_Oddavala maty dochku
Vinnytsia_ballads_643_Mala maty yednu dochku	17-БР-01б	Мала мати єдну дочку	Mala maty yednu dochku	Non-ritual	Ballad	БР	1972	Експедиція ІМФЕ	"Слюсар Марії 
Кирилівни та Голуб Параски Степанівни."	2 voices		 фонозапис ф. 14-10, од. зб. 1249 (7). Розшифр. Виноградов Г. В. Співали колись жінки і дівчата на вулиці, на полі, на весіллях. Тепер співають тільки старші жінки.	– ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 15		с. Кармалюкове Жмеринського р-ну Вінницької обл.	с. Кармалюкове Жмеринського р-ну Вінницької обл.	49.1535629	27.954607	Karmalyukove, Vinnytsia Oblast, Ukraine, 23120	"Зап. у 1972 р. експ. ІМФЕ у с. Кармалюкове Жмеринського р-ну Вінницької обл. від Слюсар Марії 
Кирилівни та Голуб Параски Степанівни. – ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 15; фонозапис ф. 
14-10, од. зб. 1249 (7). Розшифр. Виноградов Г. В. Співали колись жінки і дівчата на вулиці, на по-
лі, на весіллях. Тепер співають тільки старші жінки., фонозапис ф. 14-10, од. зб. 1249 (7). Розшифр. Виноградов Г. В. Співали колись жінки і дівчата на вулиці, на полі, на весіллях. Тепер співають тільки старші жінки."	Vinnytsia_ballads_643_Mala maty yednu dochku
Vinnytsia_ballads_644_Mala maty dochku	17-БР-01в	Мала мати дочку	Mala maty dochku	Non-ritual	Ballad	БР	2015	Гарбулінська Тетяна	"від фольк. анс. ""Берегиня"""	2 voices			З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (143).		"с. Бирлівка Бершадського 
р-ну Вінницької обл."	с. Бирлівка Бершадського р-ну Вінницької обл.	48.3741129	29.4565425	Byrlivka, Vinnytsia Oblast, Ukraine, 24414	"Зап. 26 лютого 2015 р. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського 
р-ну Вінницької обл. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (143). Вар. зап. 
у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 44 (581). Вар. 1 зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці 
Гайсинського р-ну Вінницької обл. від Коваль О. Н., Касьян Я. М., Коваль С. П., Мелицької Г. М., 
Дубровської М. П., Сокач К. Д. Розшифр. Єфремова Л. О. № 4 (598)."	Vinnytsia_ballads_644_Mala maty dochku
Vinnytsia_ballads_644v_Mala maty dochku	17-БР-01в	Мала мати дочку	Mala maty dochku	Non-ritual	Ballad	БР	2007	Кушка Т. Я., Матіяш Д. В.	від гурту.	unison			Розшифр. Єфремова Л. О. № 44 (581).		с. Забужжя Немирівського р-ну Вінницької обл.	с. Забужжя Немирівського р-ну Вінницької обл.	48.8792018	28.770924	Zabuzhzhya, Vinnytsia Oblast, Ukraine, 22848	"Зап. 26 лютого 2015 р. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського 
р-ну Вінницької обл. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (143). Вар. зап. 
у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 44 (581). Вар. 1 зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці 
Гайсинського р-ну Вінницької обл. від Коваль О. Н., Касьян Я. М., Коваль С. П., Мелицької Г. М., 
Дубровської М. П., Сокач К. Д. Розшифр. Єфремова Л. О. № 4 (598)."	Vinnytsia_ballads_644v_Mala maty dochku
Vinnytsia_ballads_644v1_Mala maty dochku	17-БР-01в	Мала мати дочку	Mala maty dochku	Non-ritual	Ballad	БР	-	Кушка Т. Я., Матіяш Д. В.	від гурту.	2 voices			Розшифр. Єфремова Л. О. № 44 (581).		с. Зятківці Гайсинського р-ну Вінницької обл.	с. Зятківці Гайсинського р-ну Вінницької обл.	48.72998459999999	29.4752358	Zyatkivtsi, Vinnytsia Oblast, Ukraine, 23751	"Зап. 26 лютого 2015 р. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського 
р-ну Вінницької обл. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 3 (143). Вар. зап. 
у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 44 (581). Вар. 1 зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці 
Гайсинського р-ну Вінницької обл. від Коваль О. Н., Касьян Я. М., Коваль С. П., Мелицької Г. М., 
Дубровської М. П., Сокач К. Д. Розшифр. Єфремова Л. О. № 4 (598)."	Vinnytsia_ballads_644v1_Mala maty dochku
Vinnytsia_ballads_645_Oj davno zh ja, davno	17-БР-01г	Ой давно ж я, давно	Oj davno zh ja, davno	Non-ritual	Ballad	БР	1922	Кудрицька А. М.	Д. Нагірної.	unison			– ІМФЕ, ф. 6-4, од. зб. 110, арк. 24-25 (текст), арк. 136 (мел.).		с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 24-25 (текст), арк. 
136 (мел.)."	Vinnytsia_ballads_645_Oj davno zh ja, davno
Vinnytsia_ballads_646_Letila zozulja	15-БР-13	Летіла зозуля	Letila zozulja	Non-ritual	Ballad	БР	2009	Кушка Т. Я., Матіяш Д. В.	"від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 8."	3 voices			Розшифр. Єфремова Л. О., № 7.		с. Білки Іллінецького р-ну Вінницької обл.	с. Білки Іллінецького р-ну Вінницької обл.	48.9515514	29.2919561	Bilky, Vinnytsia Oblast, Ukraine, 22744	"Зап. 10.05 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від 
фольк. анс. ""Джерело""(кер. Білкун І. С.), № 8. Розшифр. Єфремова Л. О., № 7."	Vinnytsia_ballads_646_Letila zozulja
Vinnytsia_ballads_647_Oj letila zozulen'ka	19-БР-06	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БР	2008	Кушка Т. Я., Матіяш Д. В.	"Вдовиченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виводить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д."	2 voices			Розшифр. Єфремова Л. О., № 5 (163).		с. Павлівка Калинівського р-ну Вінницької обл.	с. Павлівка Калинівського р-ну Вінницької обл.	49.4429672	28.4610373	Pavlivka, Vinnytsia Oblast, Ukraine, 22436	"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виво-
дить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д. Розшифр. Єфремова Л. О., № 5 (163). Вар. зап. 24.05 2008 р. там само. № 1 (171). Вар. 1 
зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Ка-
сета № 12. Розшифр. Єфремова Л. О., № 17 (327). Вар. 2 зап. 1926 р. Гайдай М. П. у м. Браїлов 
(Москалівка) (нині Жмеринського р-ну Вінницької обл.) від Ганусі Архань, 11 р. – ІМФЕ, ф. 6-3, 
од. зб. 69, арк. 34-35 (17 зв.-18), № 51. Вар. 3 зап. там само від Марусі Яремишиної, 38 р. – ІМФЕ, 
ф. 6-3, од. зб. 69, арк. 35 (18), № 52."	Vinnytsia_ballads_647_Oj letila zozulen'ka
Vinnytsia_ballads_647v_Oj letila zozulen'ka	19-БР-06	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БР	2008	Кушка Т. Я., Матіяш Д. В.	"Вдовиченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виводить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д."	2 voices			Розшифр. Єфремова Л. О., № 1 (171).		с. Павлівка Калинівського р-ну Вінницької обл.	с. Павлівка Калинівського р-ну Вінницької обл.	49.4429672	28.4610373	Pavlivka, Vinnytsia Oblast, Ukraine, 22436	"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виво-
дить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д. Розшифр. Єфремова Л. О., № 5 (163). Вар. зап. 24.05 2008 р. там само. № 1 (171). Вар. 1 
зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Ка-
сета № 12. Розшифр. Єфремова Л. О., № 17 (327). Вар. 2 зап. 1926 р. Гайдай М. П. у м. Браїлов 
(Москалівка) (нині Жмеринського р-ну Вінницької обл.) від Ганусі Архань, 11 р. – ІМФЕ, ф. 6-3, 
од. зб. 69, арк. 34-35 (17 зв.-18), № 51. Вар. 3 зап. там само від Марусі Яремишиної, 38 р. – ІМФЕ, 
ф. 6-3, од. зб. 69, арк. 35 (18), № 52."	Vinnytsia_ballads_647v_Oj letila zozulen'ka
Vinnytsia_ballads_647v1_Oj letila zozulen'ka	19-БР-06	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БР	1998	Бідюк Л. М.	від гурту. Касета № 12.	heterophony			Розшифр. Єфремова Л. О., № 17 (327).		с. Сиваківці  Липовецького р-ну Вінницької обл.	с. Сиваківці Липовецького р-ну Вінницької обл.	49.32703799999999	28.6661382	Syvakivtsi, Vinnytsia Oblast, Ukraine, 22514	"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виво-
дить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д. Розшифр. Єфремова Л. О., № 5 (163). Вар. зап. 24.05 2008 р. там само. № 1 (171). Вар. 1 
зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Ка-
сета № 12. Розшифр. Єфремова Л. О., № 17 (327). Вар. 2 зап. 1926 р. Гайдай М. П. у м. Браїлов 
(Москалівка) (нині Жмеринського р-ну Вінницької обл.) від Ганусі Архань, 11 р. – ІМФЕ, ф. 6-3, 
од. зб. 69, арк. 34-35 (17 зв.-18), № 51. Вар. 3 зап. там само від Марусі Яремишиної, 38 р. – ІМФЕ, 
ф. 6-3, од. зб. 69, арк. 35 (18), № 52."	Vinnytsia_ballads_647v1_Oj letila zozulen'ka
Vinnytsia_ballads_647v2_Oj letila zozulen'ka	19-БР-06	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БР	1926	Гайдай Михайло	Ганусі Архань, 11 р.	unison			– ІМФЕ, ф. 6-3, од. зб. 69, арк. 34-35 (17 зв.-18), № 51.		м. Браїлов (Москалівка) (нині Жмеринського р-ну Вінницької обл.) 	м. Браїлов  Жмеринського р-ну Вінницької обл.	49.1055022	28.1576316	Brailiv, Vinnytsia Oblast, Ukraine, 23130	"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виво-
дить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д. Розшифр. Єфремова Л. О., № 5 (163). Вар. зап. 24.05 2008 р. там само. № 1 (171). Вар. 1 
зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Ка-
сета № 12. Розшифр. Єфремова Л. О., № 17 (327). Вар. 2 зап. 1926 р. Гайдай М. П. у м. Браїлов 
(Москалівка) (нині Жмеринського р-ну Вінницької обл.) від Ганусі Архань, 11 р. – ІМФЕ, ф. 6-3, 
од. зб. 69, арк. 34-35 (17 зв.-18), № 51. Вар. 3 зап. там само від Марусі Яремишиної, 38 р. – ІМФЕ, 
ф. 6-3, од. зб. 69, арк. 35 (18), № 52."	Vinnytsia_ballads_647v2_Oj letila zozulen'ka
Vinnytsia_ballads_647v3_Oj letila zozulen'ka	19-БР-06	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БР	-	?	Марусі Яремишиної, 38 р.	unison			– ІМФЕ, ф. 6-3, од. зб. 69, арк. 35 (18), № 52.		с. Павлівка Калинівського р-ну Вінницької обл.	с. Павлівка Калинівського р-ну Вінницької обл.	49.4429672	28.4610373	Pavlivka, Vinnytsia Oblast, Ukraine, 22436	"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А. (заспівує), Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І. (виво-
дить), Павлуник Н. С., Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук 
Ю. Д. Розшифр. Єфремова Л. О., № 5 (163). Вар. зап. 24.05 2008 р. там само. № 1 (171). Вар. 1 
зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Ка-
сета № 12. Розшифр. Єфремова Л. О., № 17 (327). Вар. 2 зап. 1926 р. Гайдай М. П. у м. Браїлов 
(Москалівка) (нині Жмеринського р-ну Вінницької обл.) від Ганусі Архань, 11 р. – ІМФЕ, ф. 6-3, 
од. зб. 69, арк. 34-35 (17 зв.-18), № 51. Вар. 3 зап. там само від Марусі Яремишиної, 38 р. – ІМФЕ, 
ф. 6-3, од. зб. 69, арк. 35 (18), № 52."	Vinnytsia_ballads_647v3_Oj letila zozulen'ka
