filename,year,place,performer,collector,archive reference,original metadata
"Kmeln_ballads_636.Akh, yakby ya mamu mala_6st_(singl)_8+6_r_(19-БР-01).xml",1971,,,,,"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Ф. 
у м. Кам’янець-Подільський Хмельницької обл. від Миcловської К. – ІМФЕ, ф. 14-5, од. зб. 419, 
арк. 221-223, пл. ф. 14-10, од. зб. 1182 (20). Нотація Іванова В. Ф. "
Kmeln_ballads_637.Oi letila zozulenka_6st_(2voices)_8+6_(19-БР-06).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 144."
Kmeln_ballads_638.Oi letila zazulechka_6st_(singl)_8+6_r_(19-БР-06).xml,1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
45-46, пл. ф. 14-10, од. зб. 1177 (23). Нотація Ю. Василенка. Виконують на весіллі сироті."
Kmeln_ballads_639.Oi letila zazulyna_6st_(singl)_8+6_r_(19-БР-06).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну від Розової Марії Василівни, 
1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 1930 р. н. – ІМФЕ, 
ф. 14-3, од. зб. 973, арк. 111-112 (текст), арк. 243 (мел.), № 78. Нотація Мишанича М. В."
Kmeln_ballads_640.i Oi letila zozulenka_4st_(singl)_8+6_(19-БР-06).xml,1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Буймистер Ганни Іванівни, 1929 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 74 (текст), арк. 235 
(мел.), № 52. Нотація Мишанича М. В."
Kmeln_ballads_641.Oi letila zozulenka_6st_(2voices)_8+6_(19-БР-06).xml,2006,,,,,"Зап. 17 грудня 2006 р. Сигидин М. А. у с. Липи Кам’янець-Подільського р-ну Хмельницької обл. 
від Бучацької Ольги Іванівни, 1931 р. н. Розшифр. Єфремова Л. О., № 7."
"Vinnytsia_ballads_542. Ой з-за гори, з-за гори (04-БК-01).xml",2018,,,,,"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. З фон-
дів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 14 (121). Зазначено, що жартівлива. Вар. зап. 
1951 р. Василенко З. І. у м. Бершадь Бершадського р-ну Вінницької обл. від Томашевич Надії. – 
ІМФЕ, ф. 14-5, од. зб. 243, арк. 79."
"Vinnytsia_ballads_542v. Ой з-за гори, з-за гори (04-БК-01).xml",2018,,,,,"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. З фон-
дів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 14 (121). Зазначено, що жартівлива. Вар. зап. 
1951 р. Василенко З. І. у м. Бершадь Бершадського р-ну Вінницької обл. від Томашевич Надії. – 
ІМФЕ, ф. 14-5, од. зб. 243, арк. 79."
Vinnytsia_ballads_543. На тім боці на толоці (04-БК-02).xml,2008,,,,,"Зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калинівсько-
го р-ну Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич 
Г. Д., Гончарук Н. П., Дишкант М. К., Воронюк Г. М. Розшифр. Єфре-
мова Л. О. № 47 (502)."
Vinnytsia_ballads_546. У полі гора (04-БК).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 48 
(текст), арк. 141 (мел.)."
"Vinnytsia_ballads_547. Ой ти, Грицю, Грицю (04-БК-04).xml",1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 31-32 
(текст), арк. 137 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського р-ну Він-
ницької обл. від Мельника Петра Я., 1895 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/І, арк. 3, № 3."
"Vinnytsia_ballads_547v. Ой ти, Грицю, Грицю (04-БК-04).xml",1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 31-32 
(текст), арк. 137 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського р-ну Він-
ницької обл. від Мельника Петра Я., 1895 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/І, арк. 3, № 3."
Vinnytsia_ballads_548. Ой летіла зозуленька (04-БК-05).xml,1924,,,,,"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Дарки Іванівни Чекини. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 105 
(текст), арк. 162 (мел.)."
Vinnytsia_ballads_549. Ой чиє то поле (04-БК-05).xml,2007,,,,,"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 42 (422). Вар. зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Іваш-
ківці Шаргородського р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 39 (139). "
Vinnytsia_ballads_549v. Ой чиє то поле (04-БК-05).xml,2007,,,,,"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 42 (422). Вар. зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Іваш-
ківці Шаргородського р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 39 (139). "
Vinnytsia_ballads_551. Ой на горі ячмінь (04-БК-05а).xml,1972,,,,,"Зап. у липні 1972 р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., 
Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну Вінниць-
кої обл. від Слюсар М. К., Слюсар П. С., Татюк Я. Н. – ІМФЕ, 
ф. 14-5, од. зб. 424/ІІІ, арк. 61; фонозапис ф. 14-10, од. зб. 1251 
(6). Розшифр. Виноградов Г. В."
Vinnytsia_ballads_552. Ой у полі кирниченька (04-БК-08).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Дружне Калинівського р-ну Вінницької обл.) від Д. Нагірної. – 
ІМФЕ, ф. 6-4, од. зб. 110, арк. 2-3, № 25 (текст), арк. 131, № 25 (мел.). Вар. зап. Мельник П. Я. у с. 
Коси Могилів-Подільського р-ну від Антонюк Д. І., – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 160."
Vinnytsia_ballads_552v. Ой у полі кирниченька (04-БК-08).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Дружне Калинівського р-ну Вінницької обл.) від Д. Нагірної. – 
ІМФЕ, ф. 6-4, од. зб. 110, арк. 2-3, № 25 (текст), арк. 131, № 25 (мел.). Вар. зап. Мельник П. Я. у с. 
Коси Могилів-Подільського р-ну від Антонюк Д. І., – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 160."
Vinnytsia_ballads_553. Ой було в батька дві дочки (05-БК-01).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 17 (текст), 
арк. 135 (мел.)."
"Vinnytsia_ballads_554. Ой Тетяна, Тетяна (05-БК-05).xml",1951,,,,,"Зап. 12.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Ометинці Немирівського р-ну Вінниць-
кої обл. від Баранчук Г. Я. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 45. Вар. зап. Лисенко М. В. у с. Карпі-
вка Могилівського пов. Подольської губ. (нині Могилів-Подільського р-ну Вінницької обл.). – 
ІМФЕ, ф. 24-5, од. зб. 30, арк. 8, № 3."
"Vinnytsia_ballads_554v. Ой Тетяна, Тетяна (05-БК-05).xml",1951,,,,,"Зап. 12.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Ометинці Немирівського р-ну Вінниць-
кої обл. від Баранчук Г. Я. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 45. Вар. зап. Лисенко М. В. у с. Карпі-
вка Могилівського пов. Подольської губ. (нині Могилів-Подільського р-ну Вінницької обл.). – 
ІМФЕ, ф. 24-5, од. зб. 30, арк. 8, № 3."
"Vinnytsia_ballads_555. Любив козак дівку (05-БК-09а, б).xml",2011,,,,,"Зап. 24 листопада 2011 р. Гарбулінська Т. Є. у с. Думенки Хмільницького р-ну Вінницької обл. від 
Ющинської М. П. та Сторожук А. Р. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., 
№ 10 (54)."
Vinnytsia_ballads_556. Тече річка невеличка (05-БК-10).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.)
 від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 44 (текст), арк. 140 (мел.). Вар. зап. у липні 1972 
р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну 
Вінницької обл. від Слюсар М. К., Голуб Г. С. – ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 71; фонозапис 
ф. 14-10, од. зб. 1252 (3). Розшифр. Виноградов Г. В. Вар. 1 зап. у лютому 2007 р. Кушка Т. Я., 
Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 52 (432)."
Vinnytsia_ballads_556v. Тече річка невеличка (05-БК-10).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.)
 від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 44 (текст), арк. 140 (мел.). Вар. зап. у липні 1972 
р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну 
Вінницької обл. від Слюсар М. К., Голуб Г. С. – ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 71; фонозапис 
ф. 14-10, од. зб. 1252 (3). Розшифр. Виноградов Г. В. Вар. 1 зап. у лютому 2007 р. Кушка Т. Я., 
Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 52 (432)."
Vinnytsia_ballads_556v1. Тече річка невеличка (05-БК-10).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.)
 від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 44 (текст), арк. 140 (мел.). Вар. зап. у липні 1972 
р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну 
Вінницької обл. від Слюсар М. К., Голуб Г. С. – ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 71; фонозапис 
ф. 14-10, од. зб. 1252 (3). Розшифр. Виноградов Г. В. Вар. 1 зап. у лютому 2007 р. Кушка Т. Я., 
Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 52 (432)."
"Vinnytsia_ballads_557. Була в полі, наробилась (05-БР-01).xml",2008,,,,,"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А., Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І., Павлуник Н. С., 
Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук Ю. Д. Розшифр. Єфре-
мова Л. О., № 8 (181). Вар. зап. 23.VI 1927 р. Корсовецький І. у с. Ковалівка Вінницької окр. (нині 
Немирівського р-ну Вінницької обл). від Марії Карпівни Романенко, 49 р. – ІМФЕ, ф. 6-4, од. зб. 
157, арк. 7 (12-13), № 9. Вар. 1 зап. у червні 1972 р. експ. ІМФЕ у с. Кармалюкове Жмеринського 
р-ну Вінницької обл. від Слюсар М. К., Ковальчук Г. С., Голуб Т. І. – ІМФЕ, ф. 14-5, од. зб. 424/ІV, 
арк. 179; фонозапис ф. 14-10, од. зб. 1255 (5). Розшифр. Істомін С."
"Vinnytsia_ballads_557v. Була в полі, наробилась (05-БР-01).xml",2008,,,,,"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А., Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І., Павлуник Н. С., 
Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук Ю. Д. Розшифр. Єфре-
мова Л. О., № 8 (181). Вар. зап. 23.VI 1927 р. Корсовецький І. у с. Ковалівка Вінницької окр. (нині 
Немирівського р-ну Вінницької обл). від Марії Карпівни Романенко, 49 р. – ІМФЕ, ф. 6-4, од. зб. 
157, арк. 7 (12-13), № 9. Вар. 1 зап. у червні 1972 р. експ. ІМФЕ у с. Кармалюкове Жмеринського 
р-ну Вінницької обл. від Слюсар М. К., Ковальчук Г. С., Голуб Т. І. – ІМФЕ, ф. 14-5, од. зб. 424/ІV, 
арк. 179; фонозапис ф. 14-10, од. зб. 1255 (5). Розшифр. Істомін С."
"Vinnytsia_ballads_557v1. Була в полі, наробилась (05-БР-01).xml",2008,,,,,"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Вдо-
виченко Н. А., Гунько В. М., Демчук В. М., Недопитанської Н. А., Любчик Г. І., Павлуник Н. С., 
Ковальчук І. П., Криворучко Л. Я., Біловус Н. І., Гуменчук К. А., Гуменчук Ю. Д. Розшифр. Єфре-
мова Л. О., № 8 (181). Вар. зап. 23.VI 1927 р. Корсовецький І. у с. Ковалівка Вінницької окр. (нині 
Немирівського р-ну Вінницької обл). від Марії Карпівни Романенко, 49 р. – ІМФЕ, ф. 6-4, од. зб. 
157, арк. 7 (12-13), № 9. Вар. 1 зап. у червні 1972 р. експ. ІМФЕ у с. Кармалюкове Жмеринського 
р-ну Вінницької обл. від Слюсар М. К., Ковальчук Г. С., Голуб Т. І. – ІМФЕ, ф. 14-5, од. зб. 424/ІV, 
арк. 179; фонозапис ф. 14-10, од. зб. 1255 (5). Розшифр. Істомін С."
Vinnytsia_ballads_558. На городі чорнобель (05-БР-02).xml,2008,,,,,"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Бірків Літинського р-ну Вінницької обл. від гурту. Роз-
шифр. Єфремова Л. О., № 3 (66)."
Vinnytsia_ballads_559. А в городі чорномин (05-БР-02).xml,2015,,,,,"Зап. 26 лютого 2015 р. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського 
р-ну Вінницької обл. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 13 (153). Вар. зап. 
1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Розшифр. Єфре-
мова Л. О., № 46 (311)."
Vinnytsia_ballads_559v. А в городі чорномин (05-БР-02).xml,2015,,,,,"Зап. 26 лютого 2015 р. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського 
р-ну Вінницької обл. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 13 (153). Вар. зап. 
1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Розшифр. Єфре-
мова Л. О., № 46 (311)."
Vinnytsia_ballads_560. Служила Настя у пана (05-БР-03).xml,2007,,,,,"Зап. 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Рожична Оратівського р-ну Вінницької обл. від гурту. 
Розшифр. Єфремова Л. О. № 38 (685). Таку трагічну може не треба співать. (Одна з жінок)"
Vinnytsia_ballads_561. У нашому селі (05-БР-06).xml,2009,,,,,"Зап. 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від фольк. анс. 
""Джерело""(кер. Білкун І. С.), № 1. Розшифр. Єфремова Л. О., № 1. Вар. зап. Матіяш Д., Кушка Т. у 
с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 2 (142). "
Vinnytsia_ballads_561v. У нашому селі (05-БР-06).xml,2009,,,,,"Зап. 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від фольк. анс. 
""Джерело""(кер. Білкун І. С.), № 1. Розшифр. Єфремова Л. О., № 1. Вар. зап. Матіяш Д., Кушка Т. у 
с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 2 (142). "
"Vinnytsia_ballads_562. Тиха, тиха (05-БР-09).xml",1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 11-12 (текст), арк. 
133 (мел.). Вар. зап. Мачульська Н. у с. Сумівка Бершадського р-ну Вінницької обл. – ІМФЕ, ф. 
6-4, од. зб. 161а/І,  арк. 11-12."
"Vinnytsia_ballads_562v. Тиха, тиха (05-БР-09).xml",1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 11-12 (текст), арк. 
133 (мел.). Вар. зап. Мачульська Н. у с. Сумівка Бершадського р-ну Вінницької обл. – ІМФЕ, ф. 
6-4, од. зб. 161а/І,  арк. 11-12."
Vinnytsia_ballads_563. Ой у лузі (05-БР-09).xml,2007,,,,,"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). "
Vinnytsia_ballads_563v. Ой у лузі (05-БР-09).xml,2007,,,,,"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). "
Vinnytsia_ballads_563v1. Ой у лузі (05-БР-09).xml,2007,,,,,"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 2 (382). Вар. зап. 2009 р. Матіяш Д., Кушка Т. на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 3 (260). Вар. 1 зап. 2009 р. Матіяш Д., Кушка Т. там само від співачки з с. Зятківці Гайсинського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 5 (262). "
Vinnytsia_ballads_564. Запалю я в новій хаті (05-БР-10).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 26-27 (текст), арк. 137 (мел.). Вар. зап. 1963 р. експ. 
ІМФЕ, нач. Ященко Л. І. у c. Іванівці Барського р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 
14-5, од. зб. 380, арк. 108-110, № 50; пл. ф. 14-10, од. зб. 985-987. "
Vinnytsia_ballads_564v. Запалю я в новій хаті (05-БР-10).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 26-27 (текст), арк. 137 (мел.). Вар. зап. 1963 р. експ. 
ІМФЕ, нач. Ященко Л. І. у c. Іванівці Барського р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 
14-5, од. зб. 380, арк. 108-110, № 50; пл. ф. 14-10, од. зб. 985-987. "
Vinnytsia_ballads_567. Йа ше вчера ізвечера (05-БР-10).xml,1927,,,,,"Зап. 1927 р. Харків В. у с. Нишівці Мурованокуриливецького р-ну Вінницької обл. від 
Штефана Маловичка. – ІМФЕ, ф. 6-3, од. зб. 80, арк. 20-22 (текст), арк. 24 (мел.)."
Vinnytsia_ballads_570. Ой у яру глібокім (05-БР-13).xml,1924,,,,,"Зап. 1924 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Ганни Гловач. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 92-93 (текст), арк. 160 (мел.). Вар. зап. 1926 р. Ми-
лятицький В. від С. Нечипоренки та О. Орленко з с. Спичинці Бердичівської окр. (нині Погреби-
щенський р-н Вінницької обл.). Парубоча. Співають, як ведуть коней на ніч. Популярна. (В. М.) – 
ІМФЕ, ф. 6-4, од. зб. 151, арк. 8, № 13."
Vinnytsia_ballads_570v. Ой у яру глібокім (05-БР-13).xml,1924,,,,,"Зап. 1924 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Ганни Гловач. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 92-93 (текст), арк. 160 (мел.). Вар. зап. 1926 р. Ми-
лятицький В. від С. Нечипоренки та О. Орленко з с. Спичинці Бердичівської окр. (нині Погреби-
щенський р-н Вінницької обл.). Парубоча. Співають, як ведуть коней на ніч. Популярна. (В. М.) – 
ІМФЕ, ф. 6-4, од. зб. 151, арк. 8, № 13."
Vinnytsia_ballads_572. Жила вдова на Подолі (05-БР-14).xml,1926,,,,,"Зап. 1926 р. Милятицький В. від Софії Нечипоренки та Ольги Орленко з с. Спичиньці Бердичів-
ської окр. (нині с. Спичинці Погребищенського р-ну Вінницької обл.). Співають старі бабки на-
підпитку зімою. Цю ж пісню на мотив ""Ой колись була роскіш-воля"" співають дівчата. Мотив за-
несено 21 року. (В. М.) – ІМФЕ, ф. 6-4, од. зб. 151, арк. 15 зв., № 28."
Vinnytsia_ballads_573. Ой жила вдова (05-БР-14).xml,1941,,,,,"Зап. 1941 р. Шмиговський А. Д. від Негоди О. з с. Хомутинці (нині Калинівського р-ну) Вінниць-
кої обл. – ІМФЕ, ф. 14-3, од. зб. 2, арк. 231-232 (131),  № 175. Подано без кінця. Пісня чоловіча. 
Негода перейняв її від Ст. Орлюка. (Прим. зап.)"
"Vinnytsia_ballads_574. Ой за гаєм, гаєм (16-БР-05).xml",2018,,,,,"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від Жа-
рій І., Ільтєшиної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 9 
(116)."
Vinnytsia_ballads_575. У Київі на Подолі (06-БК-01).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 59-60 (текст), арк. 
150 (мел.). Текст надр.: Балади, 1, с. 199. Вар. зап. Балицька з м. М’яківка Ольгопільського пов. 
на Поділлі (нині с. Городківка Крижипільського р-ну Вінницької обл.), співали селяни до 1915 р. 
– ІМФЕ, ф. 14-3, од. зб. 2, арк. 217 (123),  № 167."
Vinnytsia_ballads_575v. У Київі на Подолі (06-БК-01).xml,1922,,,,,"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 59-60 (текст), арк. 
150 (мел.). Текст надр.: Балади, 1, с. 199. Вар. зап. Балицька з м. М’яківка Ольгопільського пов. 
на Поділлі (нині с. Городківка Крижипільського р-ну Вінницької обл.), співали селяни до 1915 р. 
– ІМФЕ, ф. 14-3, од. зб. 2, арк. 217 (123),  № 167."
Vinnytsia_ballads_576. Ой у полі на роздолі (06-БК-01).xml,2007,,,,,"Зап у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від
гурту. Розшифр. Єфремова Л. О. № 6 (386). "
Vinnytsia_ballads_577. Ой вийшов місяць із-за хмари (06-БК-02).xml,2008,,,,,"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Бірків Літинського р-ну Вінницької обл. від гурту. Роз-
шифр. Єфремова Л. О., № 26 (94). Вар. зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищен-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 21 (379)."
Vinnytsia_ballads_577v. Ой вийшов місяць із-за хмари (06-БК-02).xml,2008,,,,,"Зап. 09.06 2008 р. Матіяш Д., Кушка Т. у с. Бірків Літинського р-ну Вінницької обл. від гурту. Роз-
шифр. Єфремова Л. О., № 26 (94). Вар. зап Кушка Т. Я., Матіяш Д. В. у с. Талалаї Погребищен-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 21 (379)."
"Vinnytsia_ballads_578. Зайди, зайди, місяченьку (06-БК-04).xml",1951,,,,,"Зап. 10.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Юрківці Сітковецького (нині Немирів-
ського) р-ну Вінницької обл. від гурту доярок. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 43."
"Vinnytsia_ballads_579. Ой у лузі, в лузі калина (07-БК).xml",2007,,,,,"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл.
від Розборської Ф. Ф. Розшифр. Єфремова Л. О. № 53 (590)."
